team_id,rating,wins,losses,last_match_time,name,tag,logo_url
7298091,1217.93,72,43,1592179998,NoPing Esports,NOPING,https://steamusercontent-a.akamaihd.net/ugc/775118698101340524/F496D4874FDFA574ECC43FB1CDD78238AC96B38D/
3332295,1215.38,90,68,1492114658,Friends,Friends,https://steamusercontent-a.akamaihd.net/ugc/172662099982618634/E9F11AE27B2DA56D749DF996FB687ED583806241/
5466118,1215.1,67,52,1554636650,YOSHIMOTO.DETONATOR,DTN,https://steamusercontent-a.akamaihd.net/ugc/921424381009057600/F846ED54123BCE31A1DF03A33879A51CA83E3FF6/
8021940,1211.54,47,48,1601881884,New Esports,NEW,https://steamusercontent-a.akamaihd.net/ugc/1048723493300485230/77C98B21711C5D6981D6964A17F024EEC8674743/
1283482,1210.66,80,59,1408812537,Scythe.SG-,SCYTHE,https://steamusercontent-a.akamaihd.net/ugc/469812062884140883/C9EDFEDE46BCAC0F1C16A5A3196D6947654FE664/
38,1210.3,63,44,1360786208,FnaticRaidCall,Fntc,
1836806,1208.81,229,171,1492085926,the wings gaming,Wings,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1836806.png
6904594,1208.64,29,19,1555683523,TEAM TEAM,tt,https://steamusercontent-a.akamaihd.net/ugc/941705094013048629/255CE8E5D541EE17F1851A13802EA56B7E8E0124/
1277104,1207.8,132,86,1413641260,Nvidia.ArrowGaming.AVF,Arrow,
6298307,1207.57,70,58,1555747688,The Pango,ThePango,https://steamusercontent-a.akamaihd.net/ugc/940591295026034251/E12A61717FA706FD38EB08A90F5C3C4D475613EF/
7441136,1206.55,146,124,1603573635,beastcoast,bc,https://steamusercontent-a.akamaihd.net/ugc/773981410527259604/8B88726CBCA1E1F5FC3368D49BCF84F609B138FF/
2714312,1205.68,49,17,1509287344,Aggressive 5,A5,https://steamusercontent-a.akamaihd.net/ugc/395581850125148530/0A70A5AE02043F47BBF2DF70FDD698F3602D39B8/
1087145,1204.99,78,49,1435977931,Osliki Gaming,OsG,https://steamusercontent-a.akamaihd.net/ugc/594766568879356896/536D5835599DC8A99ABF3D224D6D2B894905E9EB/
3580606,1203.37,48,44,1494724644,SG e-sports,SG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/3580606.png
